record_id,activity,duration_hours,wind_mean,gust_max,rain_max,daylight_fraction,completed_as_planned,notice
DEMO-0057,Turbine installation,7,11.73317,20.17505,2.04540,1.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0058,Turbine installation,6,11.21985,12.21985,0.14860,0.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0059,Turbine installation,4,12.22610,18.98433,0.39361,0.50000,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0060,Turbine installation,7,6.72361,11.77770,1.91502,0.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0061,Turbine installation,4,12.30836,13.30836,0.62830,1.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0062,Turbine installation,8,3.61130,8.11443,0.67691,1.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0063,Turbine installation,8,5.41216,22.92828,2.33742,0.00000,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0064,Turbine installation,5,2.64533,6.14594,0.85777,0.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0065,Turbine installation,6,7.01227,19.88614,0.21476,1.00000,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0066,Turbine installation,3,5.88090,16.51090,0.10930,0.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0067,Turbine installation,7,3.61391,18.23145,1.32953,1.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0068,Turbine installation,6,11.27671,17.81091,1.85139,1.00000,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0069,Turbine installation,8,4.70770,20.45182,2.60666,0.00000,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0070,Turbine installation,3,4.09206,8.30826,0.33241,0.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0071,Turbine installation,7,1.96335,5.01484,0.59002,1.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0072,Turbine installation,4,6.58233,15.77351,1.58940,0.00000,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0073,Turbine installation,2,4.54447,11.36946,1.09233,0.50000,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0074,Turbine installation,2,5.53909,7.22817,1.44761,0.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0075,Turbine installation,5,3.53996,8.35050,2.77237,0.50000,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0076,Turbine installation,3,11.44733,12.44733,1.63467,0.50000,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0077,Turbine installation,1,13.95005,14.95005,1.24536,1.00000,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0078,Turbine installation,4,7.46898,8.46898,2.96832,1.00000,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0079,Turbine installation,6,9.64498,21.48847,0.19565,0.50000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0080,Turbine installation,3,13.00758,14.00758,2.79634,0.50000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0081,Turbine installation,8,14.98244,22.68015,1.50499,0.50000,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0082,Turbine installation,7,9.20275,22.35861,1.51127,1.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0083,Turbine installation,5,13.34669,14.34669,2.76589,0.00000,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0084,Turbine installation,8,13.62912,17.86864,1.52197,0.00000,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0085,Turbine installation,4,11.87177,15.81449,1.31522,0.50000,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0086,Turbine installation,2,6.91397,17.43165,0.81747,1.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0087,Turbine installation,1,1.21731,6.73144,1.97645,1.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0088,Turbine installation,8,0.23708,8.39408,1.70894,0.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0089,Turbine installation,8,7.15801,8.15801,0.64304,0.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0090,Turbine installation,6,7.41472,15.87442,2.12824,0.50000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0091,Turbine installation,1,6.11044,22.75864,1.93226,0.50000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0092,Turbine installation,3,8.52251,17.09572,1.19200,0.50000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0093,Turbine installation,1,8.28244,17.79371,0.01320,0.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0094,Turbine installation,1,12.54920,22.72253,1.33974,1.00000,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0095,Turbine installation,2,1.62986,17.20421,0.01817,1.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0096,Turbine installation,5,3.37766,5.72327,0.22500,1.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0097,Turbine installation,1,11.89507,20.60610,1.29183,0.50000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0098,Turbine installation,8,12.71755,13.71755,0.24576,0.00000,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0099,Turbine installation,4,14.92236,15.92236,0.82700,0.50000,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0100,Turbine installation,3,13.09368,14.13022,1.96647,0.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0101,Turbine installation,5,13.34849,21.86627,0.92585,0.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0102,Turbine installation,7,4.71522,9.63195,2.99295,0.50000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0103,Turbine installation,3,6.02492,13.84724,2.74891,0.50000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0104,Turbine installation,1,4.02128,8.12798,1.75593,0.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0105,Turbine installation,1,9.09449,10.09449,2.90084,1.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0106,Turbine installation,7,14.08208,15.08208,2.60405,0.00000,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0107,Turbine installation,1,5.16961,18.08620,0.95670,0.50000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0108,Turbine installation,6,8.35503,20.55334,2.24879,0.50000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0109,Turbine installation,4,4.44449,7.57938,0.41050,0.50000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0110,Turbine installation,7,2.54700,10.18973,2.05365,1.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0111,Turbine installation,1,2.92778,8.51053,1.47325,1.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0112,Turbine installation,8,0.86918,5.48340,0.05048,1.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0113,Turbine installation,6,14.23940,15.23940,0.82269,0.50000,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0114,Turbine installation,4,6.04319,17.59860,2.86615,0.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0115,Turbine installation,2,12.51181,16.66179,0.94749,0.50000,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0116,Turbine installation,8,10.21994,11.98496,0.54436,0.50000,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0117,Turbine installation,3,2.87882,14.99018,0.56259,0.50000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0118,Turbine installation,4,2.63193,6.69379,1.43764,0.50000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0119,Turbine installation,4,12.17982,13.17982,2.52795,0.00000,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0120,Turbine installation,2,3.97068,21.77230,2.27401,0.50000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0121,Turbine installation,4,13.69928,18.70714,1.31056,1.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0122,Turbine installation,2,2.10083,21.60930,0.62618,0.50000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0123,Turbine installation,1,10.16563,21.50025,0.13819,1.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0124,Turbine installation,3,12.21711,16.68907,1.38789,1.00000,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0125,Turbine installation,1,3.52885,21.70830,2.44433,1.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0126,Turbine installation,4,4.14311,12.50067,2.18905,0.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0127,Turbine installation,7,14.46778,15.46778,1.22580,1.00000,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0128,Turbine installation,2,3.96896,6.12628,1.78411,0.50000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0129,Turbine installation,1,6.44936,7.44936,1.30874,0.50000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0130,Turbine installation,1,6.48773,7.48773,1.73705,0.50000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0131,Turbine installation,5,3.79552,11.33064,1.55252,0.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0132,Turbine installation,3,11.63687,17.62287,2.04290,1.00000,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0133,Turbine installation,4,11.57774,19.23168,1.52313,0.50000,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0134,Turbine installation,1,5.67477,15.62384,2.82183,1.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0135,Turbine installation,3,12.52689,13.52689,1.28408,1.00000,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0136,Turbine installation,4,3.19612,18.46223,0.04775,0.50000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0137,Turbine installation,4,0.06459,11.38643,0.70912,1.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0138,Turbine installation,5,8.56751,9.56751,1.50182,0.50000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0139,Turbine installation,7,14.91117,15.91117,1.62172,0.50000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0140,Turbine installation,4,0.57966,10.95081,1.65715,1.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0141,Turbine installation,7,3.11997,9.93642,2.14366,1.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0142,Turbine installation,5,7.78372,19.61366,0.82394,1.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0143,Turbine installation,3,12.14911,18.67868,1.99471,1.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0144,Turbine installation,2,1.33563,17.51994,2.11210,0.50000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0145,Turbine installation,3,5.92852,7.50209,1.23384,1.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0146,Turbine installation,5,11.20614,19.54101,1.20651,0.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0147,Turbine installation,2,5.57315,17.18917,0.53677,1.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0148,Turbine installation,8,2.83255,8.50708,1.24196,0.50000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0149,Turbine installation,4,2.93244,16.66569,2.36045,0.50000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0150,Turbine installation,7,6.15073,13.70321,2.72692,1.00000,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0151,Turbine installation,6,7.19126,12.90830,1.78084,0.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0152,Turbine installation,3,12.92722,13.92722,0.89811,1.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0153,Turbine installation,2,9.63379,14.32948,2.04687,0.50000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0154,Turbine installation,6,10.35603,11.35603,2.22044,0.50000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0155,Turbine installation,3,14.74481,15.74481,0.99664,0.00000,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0156,Turbine installation,2,6.17765,7.38583,2.47964,0.50000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0157,Turbine installation,8,6.05032,22.17395,0.22109,1.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0158,Turbine installation,4,13.85020,14.85020,0.03226,0.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0159,Turbine installation,1,3.68813,11.39368,0.36891,0.50000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0160,Turbine installation,4,10.94723,11.94723,0.46803,1.00000,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0161,Turbine installation,4,11.31860,21.16851,2.63679,0.50000,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0162,Turbine installation,7,1.46682,15.13339,1.27495,0.50000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0163,Turbine installation,6,7.02347,21.54488,0.82480,0.50000,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0164,Turbine installation,2,3.00844,10.39865,1.28723,0.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0165,Turbine installation,2,2.78063,7.06702,1.18452,0.50000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0166,Turbine installation,5,6.95742,15.01193,0.90439,1.00000,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0167,Turbine installation,1,4.34145,11.21967,0.41370,0.50000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0168,Turbine installation,3,11.94091,19.43432,1.96775,0.50000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0169,Turbine installation,2,13.61407,20.82962,0.40981,0.00000,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0170,Turbine installation,1,12.04081,13.50632,2.32627,1.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0171,Turbine installation,8,3.99046,22.48446,0.60506,1.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0172,Turbine installation,1,4.11202,14.95423,2.19411,1.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0173,Turbine installation,1,3.82093,9.87657,2.41676,0.50000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0174,Turbine installation,8,2.02557,13.80156,0.37598,0.50000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0175,Turbine installation,2,14.15698,15.15698,0.26024,0.50000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0176,Turbine installation,7,6.03072,19.47202,2.84872,0.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0177,Turbine installation,1,3.37034,6.82583,1.38914,0.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0178,Turbine installation,2,12.70007,13.70007,1.89071,0.50000,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0179,Turbine installation,1,5.98793,15.17570,0.06978,0.50000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0180,Turbine installation,6,0.52675,5.77355,0.83613,0.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0181,Turbine installation,5,2.42912,6.42770,1.51619,1.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0182,Turbine installation,4,9.58876,17.53009,2.65865,0.50000,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0183,Turbine installation,2,11.74358,12.74358,0.81432,1.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0184,Turbine installation,1,3.16402,13.58749,2.32557,0.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0185,Turbine installation,5,13.76093,14.76093,1.98664,0.00000,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0186,Turbine installation,2,12.76496,13.76496,0.34581,0.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0187,Turbine installation,5,12.72571,13.72571,0.88013,1.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0188,Turbine installation,6,3.41492,18.74140,0.71359,0.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0189,Turbine installation,7,0.75804,22.12776,1.32758,1.00000,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0190,Turbine installation,4,13.01135,14.01135,1.90600,1.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0191,Turbine installation,1,4.58700,22.27426,1.30026,0.00000,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0192,Turbine installation,3,9.28375,15.70573,0.73361,0.50000,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0193,Turbine installation,7,11.39950,16.54989,2.08764,0.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0194,Turbine installation,5,1.92440,17.77867,1.75341,0.50000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0195,Turbine installation,5,11.71258,17.67414,1.55794,0.00000,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0196,Turbine installation,4,14.07767,19.75660,1.66326,1.00000,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
DEMO-0197,Turbine installation,2,10.92562,13.70244,0.66570,1.00000,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
