time,wind,gust,rain,is_day,notice
2026-06-16 11:00:00+00:00,10.66,14.37,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-16 12:00:00+00:00,9.3,10.79,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-16 13:00:00+00:00,8.45,11.47,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-16 14:00:00+00:00,8.32,12.1,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-16 15:00:00+00:00,9.65,12.97,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-16 16:00:00+00:00,9.58,11.38,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-16 17:00:00+00:00,9.21,13.43,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-16 18:00:00+00:00,7.82,11.68,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-16 19:00:00+00:00,8.53,12.49,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-16 20:00:00+00:00,8.22,9.74,0.0,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-16 21:00:00+00:00,8.12,9.61,0.0,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-16 22:00:00+00:00,8.56,13.27,0.0,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-16 23:00:00+00:00,7.7,10.29,1.08,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-17 00:00:00+00:00,7.93,10.13,0.0,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-17 01:00:00+00:00,7.09,10.05,0.0,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-17 02:00:00+00:00,7.09,10.74,0.35,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-17 03:00:00+00:00,7.2,12.02,0.0,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-17 04:00:00+00:00,4.87,7.02,0.0,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-17 05:00:00+00:00,5.78,10.48,1.35,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-17 06:00:00+00:00,5.39,6.49,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-17 07:00:00+00:00,4.99,8.21,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-17 08:00:00+00:00,5.12,8.65,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-17 09:00:00+00:00,6.66,8.08,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-17 10:00:00+00:00,4.07,5.63,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-17 11:00:00+00:00,5.68,8.35,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-17 12:00:00+00:00,2.8,7.67,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-17 13:00:00+00:00,3.94,7.32,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-17 14:00:00+00:00,4.23,8.96,1.07,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-17 15:00:00+00:00,4.45,8.66,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-17 16:00:00+00:00,4.38,7.25,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-17 17:00:00+00:00,4.27,8.41,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-17 18:00:00+00:00,2.95,4.02,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-17 19:00:00+00:00,2.67,4.11,1.26,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-17 20:00:00+00:00,3.83,8.15,0.0,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-17 21:00:00+00:00,2.63,6.82,0.0,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-17 22:00:00+00:00,1.41,3.34,0.0,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-17 23:00:00+00:00,1.43,4.55,1.16,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-18 00:00:00+00:00,1.53,4.95,0.0,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-18 01:00:00+00:00,2.84,7.31,0.92,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-18 02:00:00+00:00,2.4,5.81,0.0,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-18 03:00:00+00:00,2.87,5.52,1.34,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-18 04:00:00+00:00,1.69,4.19,0.0,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-18 05:00:00+00:00,2.23,4.93,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-18 06:00:00+00:00,2.66,6.26,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-18 07:00:00+00:00,1.7,6.17,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-18 08:00:00+00:00,2.46,5.27,1.87,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-18 09:00:00+00:00,1.34,3.33,1.01,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-18 10:00:00+00:00,1.66,3.61,0.75,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-18 11:00:00+00:00,1.68,5.66,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-18 12:00:00+00:00,0.91,5.17,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-18 13:00:00+00:00,2.65,4.07,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-18 14:00:00+00:00,1.77,3.03,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-18 15:00:00+00:00,2.34,5.71,1.34,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-18 16:00:00+00:00,2.9,4.49,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-18 17:00:00+00:00,2.98,7.28,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-18 18:00:00+00:00,3.32,5.56,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-18 19:00:00+00:00,2.69,4.27,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-18 20:00:00+00:00,2.52,7.2,0.0,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-18 21:00:00+00:00,3.02,4.68,1.5,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-18 22:00:00+00:00,1.58,3.71,0.0,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-18 23:00:00+00:00,1.99,3.61,1.61,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-19 00:00:00+00:00,2.3,3.76,0.0,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-19 01:00:00+00:00,2.82,3.9,0.0,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-19 02:00:00+00:00,4.42,5.64,0.0,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-19 03:00:00+00:00,3.32,5.02,0.0,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-19 04:00:00+00:00,4.06,5.27,1.2,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-19 05:00:00+00:00,5.96,9.32,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-19 06:00:00+00:00,4.53,8.25,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-19 07:00:00+00:00,5.85,8.42,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-19 08:00:00+00:00,4.41,6.68,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-19 09:00:00+00:00,5.37,8.39,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-19 10:00:00+00:00,4.86,9.36,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-19 11:00:00+00:00,5.7,10.11,0.82,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-19 12:00:00+00:00,7.12,8.29,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-19 13:00:00+00:00,4.79,6.51,0.27,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-19 14:00:00+00:00,7.18,9.13,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-19 15:00:00+00:00,7.21,9.21,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-19 16:00:00+00:00,6.61,9.89,1.97,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-19 17:00:00+00:00,5.98,8.64,1.04,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-19 18:00:00+00:00,7.71,8.91,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-19 19:00:00+00:00,7.32,9.82,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-19 20:00:00+00:00,8.29,11.39,0.0,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-19 21:00:00+00:00,8.28,9.68,0.0,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-19 22:00:00+00:00,10.05,14.38,0.0,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-19 23:00:00+00:00,8.39,9.6,0.0,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-20 00:00:00+00:00,7.78,12.48,1.86,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-20 01:00:00+00:00,9.14,10.54,0.0,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-20 02:00:00+00:00,9.34,13.71,0.0,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-20 03:00:00+00:00,10.62,15.23,0.0,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-20 04:00:00+00:00,10.22,15.14,0.0,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-20 05:00:00+00:00,9.87,14.07,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-20 06:00:00+00:00,11.08,15.2,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-20 07:00:00+00:00,8.52,12.09,1.48,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-20 08:00:00+00:00,9.15,13.27,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-20 09:00:00+00:00,8.93,10.47,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-20 10:00:00+00:00,9.52,12.67,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-20 11:00:00+00:00,8.58,11.64,1.64,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-20 12:00:00+00:00,10.62,15.05,0.29,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-20 13:00:00+00:00,9.78,12.63,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-20 14:00:00+00:00,8.53,11.07,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-20 15:00:00+00:00,8.97,12.53,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-20 16:00:00+00:00,10.27,12.34,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-20 17:00:00+00:00,10.75,12.31,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-20 18:00:00+00:00,11.86,14.77,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-20 19:00:00+00:00,12.71,15.38,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-20 20:00:00+00:00,10.13,12.06,0.0,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-20 21:00:00+00:00,8.63,11.1,0.0,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-20 22:00:00+00:00,7.38,9.85,0.0,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-20 23:00:00+00:00,9.66,11.97,0.63,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-21 00:00:00+00:00,8.45,10.97,0.0,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-21 01:00:00+00:00,8.71,12.45,0.0,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-21 02:00:00+00:00,8.36,10.54,0.0,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-21 03:00:00+00:00,8.67,13.46,0.0,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-21 04:00:00+00:00,9.7,14.37,0.0,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-21 05:00:00+00:00,8.61,11.53,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-21 06:00:00+00:00,8.1,10.42,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-21 07:00:00+00:00,7.03,10.17,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-21 08:00:00+00:00,6.19,10.58,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-21 09:00:00+00:00,7.16,10.77,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-21 10:00:00+00:00,7.38,11.6,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-21 11:00:00+00:00,8.98,12.11,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-21 12:00:00+00:00,7.11,10.64,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-21 13:00:00+00:00,7.74,9.89,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-21 14:00:00+00:00,6.02,9.96,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-21 15:00:00+00:00,5.1,6.91,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-21 16:00:00+00:00,5.09,8.87,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-21 17:00:00+00:00,5.09,9.53,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-21 18:00:00+00:00,7.71,9.24,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-21 19:00:00+00:00,4.53,7.99,0.0,1,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-21 20:00:00+00:00,5.96,7.34,0.0,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-21 21:00:00+00:00,3.99,7.89,0.0,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-21 22:00:00+00:00,5.6,6.94,0.0,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-21 23:00:00+00:00,4.83,9.58,0.0,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
2026-06-22 00:00:00+00:00,4.08,5.63,0.44,0,Generated demonstration data. Limits are illustrative and must not be used for real lifting operations.
